student_id,source_class_code,source_seat_number,target_class_code,target_seat_number,status
410001,101,1,214,2,active
410002,101,2,202,2,active
410003,101,3,216,2,active
410004,101,4,207,7,active
410005,101,5,215,4,active
410006,101,6,214,5,active
410007,101,7,212,6,active
410008,101,8,201,3,active
410009,101,9,213,4,active
410010,101,10,212,8,active
410011,101,11,216,7,active
410012,101,12,209,13,active
410013,101,13,212,10,active
410014,101,14,216,15,active
410015,101,15,205,13,active
410016,101,16,214,20,active
410017,101,17,206,18,active
410018,101,18,215,18,active
410019,101,19,205,18,active
410020,101,20,213,20,active
410021,101,21,211,24,active
410022,101,22,209,24,active
410023,101,23,211,26,active
410024,101,24,216,24,active
410025,101,25,206,26,active
410026,101,26,204,25,active
410027,101,27,215,26,active
410028,101,28,204,31,active
410029,101,29,211,30,active
410030,101,30,207,29,active
410031,101,31,211,33,active
410032,101,32,205,35,active
410033,101,33,214,28,active
410034,101,34,201,16,active
410035,101,35,201,19,active
410036,101,36,210,36,active
410037,102,1,201,1,active
410038,102,2,208,4,active
410039,102,3,204,7,active
410040,102,4,216,5,active
410041,102,5,211,8,active
410042,102,6,204,10,active
410043,102,7,209,10,active
410044,102,8,208,8,active
410045,102,9,207,8,active
410046,102,10,210,8,active
410047,102,11,206,12,active
410048,102,12,203,14,active
410049,102,13,214,16,active
410050,102,14,204,14,active
410051,102,15,202,8,active
410052,102,16,211,14,active
410053,102,17,211,27,active
410054,102,18,216,20,active
410055,102,19,207,20,active
410056,102,20,202,12,active
410057,102,21,212,21,active
410058,102,22,203,24,active
410059,102,23,212,25,active
410060,102,24,207,26,active
410061,102,25,216,26,active
410062,102,26,204,28,active
410063,102,27,208,27,active
410064,102,28,206,29,active
410065,102,29,216,29,active
410066,102,30,215,27,active
410067,102,31,210,26,active
410068,102,32,215,29,active
410069,102,33,201,15,active
410070,102,34,,,suspended
410071,102,35,206,37,active
410072,102,36,213,36,active
410073,103,1,215,1,active
410074,103,2,216,1,active
410075,103,3,207,5,active
410076,103,4,205,4,active
410077,103,5,216,4,active
410078,103,6,206,4,active
410079,103,7,203,6,active
410080,103,8,213,5,active
410081,103,9,202,7,active
410082,103,10,201,5,active
410083,103,11,205,11,active
410084,103,12,214,18,active
410085,103,13,207,17,active
410086,103,14,212,14,active
410087,103,15,215,17,active
410088,103,16,206,22,active
410089,103,17,211,21,active
410090,103,18,214,23,active
410091,103,19,201,14,active
410092,103,20,216,23,active
410093,103,21,204,23,active
410094,103,22,205,28,active
410095,103,23,203,29,active
410096,103,24,215,25,active
410097,103,25,212,32,active
410098,103,26,209,25,active
410099,103,27,212,33,active
410100,103,28,205,31,active
410101,103,29,213,30,active
410102,103,30,204,32,active
410103,103,31,207,32,active
410104,103,32,206,36,active
410105,103,33,203,35,active
410106,103,34,204,36,active
410107,103,35,212,37,active
410108,103,36,216,34,active
410109,104,1,206,1,active
410110,104,2,209,2,active
410111,104,3,213,1,active
410112,104,4,211,1,active
410113,104,5,212,2,active
410114,104,6,203,9,active
410115,104,7,206,10,active
410116,104,8,206,11,active
